FUNCIÓN_DENOMINACIÓN,TIPO_URG,CENTRO_GESTOR,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL DISTRITO FEDERAL,0,0,0,0,0,0,"1,393,609","1,393,609",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN ÁLVARO OBREGÓN,"8,236","25,471","42,029","64,624","91,880","119,683","153,374","427,094",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN AZCAPOTZALCO,"2,436,733","3,994,489","5,947,143","9,847,689","12,957,945","15,979,544","16,935,883","17,704,510",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN BENITO JUÁREZ,"3,602","11,679","812,444","1,084,690","1,320,616","1,628,878","1,901,385","1,908,835",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN COYOACÁN,"2,318,030","4,921,333","8,410,021","11,036,301","16,133,445","18,754,432","22,686,396","25,775,172",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN CUAJIMALPA DE MORELOS,"955,190","1,303,652","1,635,456","1,971,419","2,357,676","2,685,271","3,573,252","3,708,325",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN CUAUHTÉMOC,"946,460","2,308,207","4,813,293","6,422,153","10,474,496","12,817,389","14,581,399","17,037,170",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN GUSTAVO A. MADERO,0,0,0,0,0,"100,000","103,638","103,638",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN IZTACALCO,"205,476","284,347","390,858","496,598","1,431,341","1,438,849","1,446,217","2,498,730",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN IZTAPALAPA,0,"33,340","33,340","66,672","83,338","100,004","116,670","133,336",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN LA MAGDALENA CONTRERAS,"816,579","1,207,162","2,069,383","4,787,036","5,874,796","6,718,397","8,234,069","9,752,116",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN MIGUEL HIDALGO,"1,421,653","3,130,877","4,561,866","6,091,861","8,250,847","9,817,692","11,286,614","13,061,112",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN MILPA ALTA,0,0,0,0,0,"25,375","29,435","4,054,435",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN TLÁHUAC,"42,561","96,017","183,429","267,749","594,731","671,786","734,332","802,176",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN TLALPAN,"14,389,799","29,376,545","45,826,945","60,419,890","82,076,717","97,251,379","114,490,090","135,655,854",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN VENUSTIANO CARRANZA,"1,664,453","4,707,139","7,179,787","9,568,726","13,108,024","15,502,603","20,322,809","24,250,543",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DELEGACIONES,DELEGACIÓN XOCHIMILCO,"1,558,937","3,066,995","4,582,691","6,315,848","8,557,077","11,208,988","12,785,377","14,306,398",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DEPENDENCIAS,SECRETARÍA DE DESARROLLO ECONÓMICO DEL DISTRITO FEDERAL,"12,372,734","24,851,256","37,633,823","50,739,312","66,378,366","97,700,356","157,094,330","179,988,576",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DEPENDENCIAS,SECRETARÍA DE GOBIERNO DEL DISTRITO FEDERAL,"2,068,383","4,480,813","7,032,512","10,003,670","13,309,636","16,384,984","18,992,963","22,142,563",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",DEPENDENCIAS,SECRETARÍA DEL TRABAJO Y FOMENTO AL EMPLEO DEL DISTRITO FEDERAL,"2,056,592","4,449,412","7,084,932","9,713,485","12,970,246","16,617,544","19,683,383","23,266,527",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FIDEICOMISO DEL FONDO PARA EL DESARROLLO ECONÓMICO Y SOCIAL DE LA CIUDAD DE MÉXICO,0,"662,273","1,092,186","1,997,375","2,443,352","2,842,197","3,513,834","3,513,834",0,0,0,0
"ASUNTOS ECONÓMICOS, COMERCIALES Y LABORALES EN GENERAL",SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL DISTRITO FEDERAL,"2,724","2,724","13,613","34,037","47,779","94,378","241,226","241,226",0,0,0,0
ASUNTOS FINANCIEROS Y HACENDARIOS,DEPENDENCIAS,SECRETARÍA DE FINANZAS DEL DISTRITO FEDERAL,"62,039,912","124,210,020","206,542,954","341,747,296","476,953,425","2,298,143,505","2,426,446,234","2,533,892,010",0,0,0,0
ASUNTOS FINANCIEROS Y HACENDARIOS,OTRAS,TESORERÍA DEL DISTRITO FEDERAL,0,0,"1,411,015,700","1,411,015,700","1,411,015,700","3,312,755,394","3,379,969,477","3,488,029,021",0,0,0,0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",DEPENDENCIAS,"SECRETARÍA DE CIENCIA, TECNOLOGÍA E INNOVACIÓN DEL DISTRITO FEDERAL","2,826,729","6,171,564","11,606,216","17,417,893","33,690,434","38,956,005","48,031,090","54,275,957",0,0,0,0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",ÓRGANOS DESCONCENTRADOS,AGENCIA DE GESTIÓN URBANA DE LA CIUDAD DE MÉXICO,"316,196","1,700,491","2,624,064","3,658,191","5,336,723","6,529,014","7,774,103","8,912,598",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN ÁLVARO OBREGÓN,0,"8,333","24,999","33,332","41,665","49,998","58,331","66,664",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN AZCAPOTZALCO,"7,452,152","23,686,124","50,530,153","67,870,637","78,900,322","103,294,624","125,709,098","147,528,978",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN BENITO JUÁREZ,0,0,"145,983","145,983","145,983","291,966","340,627","340,627",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN COYOACÁN,"2,806,156","4,516,853","12,080,242","17,009,176","22,156,733","31,147,401","39,204,055","42,139,431",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN CUAJIMALPA DE MORELOS,"5,209,256","10,564,581","16,236,700","21,767,666","31,725,749","37,573,413","44,921,264","52,482,041",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN CUAUHTÉMOC,"6,645,591","12,365,344","18,733,785","23,041,688","29,646,824","35,641,178","38,988,999","51,488,006",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN GUSTAVO A. MADERO,0,0,"2,513,096","5,193,131","5,771,848","5,898,219","7,194,539","7,638,320",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN IZTAPALAPA,0,"2,990,340","8,904,340","9,029,710","9,263,576","9,280,242","9,346,906","9,452,638",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN MIGUEL HIDALGO,"9,485,270","23,800,642","32,356,434","49,278,314","64,684,126","83,675,894","102,551,491","113,081,648",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN MILPA ALTA,0,0,0,0,0,0,0,"336,180",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN TLÁHUAC,0,"83,332","276,168","653,538","982,375","1,596,583","2,054,713","2,105,692",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN TLALPAN,"105,173","217,187","379,272","671,150","2,156,341","4,097,344","6,839,953","8,274,194",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN VENUSTIANO CARRANZA,"16,427,949","28,265,758","40,353,444","49,586,688","64,506,777","75,104,062","86,779,817","98,932,407",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DELEGACIONES,DELEGACIÓN XOCHIMILCO,0,0,0,0,0,0,0,0,0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DEPENDENCIAS,CONSEJERÍA JURÍDICA Y DE SERVICIOS LEGALES,"39,646,176","70,381,206","101,294,535","132,494,408","170,297,896","208,695,658","329,141,624","406,735,808",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DEPENDENCIAS,CONTRALORÍA GENERAL,"16,012,116","37,212,742","58,346,416","79,724,704","102,437,817","123,682,821","144,780,143","165,709,363",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DEPENDENCIAS,JEFATURA DEL GOBIERNO DEL DISTRITO FEDERAL,"10,873,142","23,224,117","35,703,566","48,223,186","62,986,416","77,166,406","90,627,869","104,183,590",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DEPENDENCIAS,OFICIALÍA MAYOR,"3,292,996","6,700,507","10,287,219","14,148,618","18,455,703","24,698,417","35,795,060","40,374,087",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DEPENDENCIAS,SECRETARÍA DE DESARROLLO URBANO Y VIVIENDA DEL DISTRITO FEDERAL,"1,820,434","3,664,749","6,085,787","8,145,415","10,705,760","12,910,962","15,023,709","17,128,997",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DEPENDENCIAS,SECRETARÍA DE GOBIERNO DEL DISTRITO FEDERAL,"1,940,885","4,997,709","7,601,606","10,115,348","13,278,079","16,452,917","19,054,228","22,068,266",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,DEPENDENCIAS,SECRETARÍA DE OBRAS Y SERVICIOS DEL DISTRITO FEDERAL,0,0,0,0,0,0,"6,840,811","6,840,811",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,ÓRGANOS DE GOBIERNO Y AUTÓNOMOS,INSTITUTO ELECTORAL DEL DISTRITO FEDERAL,"86,898,777","188,280,684","284,421,024","379,228,032","524,035,040","618,842,048","763,649,056","858,456,064",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,ÓRGANOS DESCONCENTRADOS,AGENCIA DE GESTIÓN URBANA DE LA CIUDAD DE MÉXICO,"1,395,757","9,337,436","18,042,388","31,661,054","34,283,605","55,354,601","59,845,682","69,079,762",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,OTRAS,DEUDA PÚBLICA DEL DISTRITO FEDERAL,"4,226,331","12,331,697","22,929,241","34,779,167","39,557,981","50,874,717","65,592,455","72,030,890",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),CONSEJO DE EVALUACIÓN DEL DESARROLLO SOCIAL DEL DISTRITO FEDERAL,"491,163","2,327,882","3,494,875","3,494,875","6,049,588","6,049,588","6,049,588","6,049,588",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),ESCUELA DE ADMINISTRACIÓN PÚBLICA DEL DISTRITO FEDERAL,"213,512","769,156","1,451,329","2,082,306","2,941,900","3,595,956","4,485,907","4,485,907",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FIDEICOMISO CENTRO HISTÓRICO DE LA CIUDAD DE MÉXICO,0,0,0,0,"105,000","270,000","270,000","270,000",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FONDO DE DESARROLLO ECONÓMICO DEL DISTRITO FEDERAL,"96,049","96,049","1,144,890","1,507,077","1,835,473","2,213,757","2,213,757","2,213,757",0,0,0,0
COORDINACIÓN DE LA POLÍTICA DE GOBIERNO,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO DE VERIFICACIÓN ADMINISTRATIVA DEL DISTRITO FEDERAL,"14,728,204","32,974,225","58,380,440","81,011,785","114,663,141","137,184,235","174,156,035","177,792,354",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN ÁLVARO OBREGÓN,0,0,0,0,"81,803","81,803","81,803","81,803",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN AZCAPOTZALCO,"273,054","556,576","835,965","1,131,229","1,419,065","1,713,099","1,799,298","5,358,623",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN BENITO JUÁREZ,"1,096","4,294","66,765","69,913","112,593","135,447","4,647,542","11,177,862",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN COYOACÁN,"475,909","3,175,120","5,936,906","8,659,714","9,229,648","23,095,875","23,011,643","24,508,772",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN CUAJIMALPA DE MORELOS,0,0,"50,188","50,188","50,623","201,437","201,437","410,226",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN CUAUHTÉMOC,"55,323","1,161,304","1,859,344","3,672,400","4,596,851","5,520,093","6,442,650","7,370,886",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN GUSTAVO A. MADERO,0,0,0,0,0,"3,189,751","3,189,751","3,189,751",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN IZTACALCO,"812,119","4,636,436","9,985,262","11,679,850","51,893,569","57,751,938","60,856,627","78,701,694",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN IZTAPALAPA,"15,245,985","42,784,689","62,364,137","83,441,457","104,931,422","138,500,297","157,822,231","183,078,041",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN LA MAGDALENA CONTRERAS,"233,741","1,010,375","2,045,661","2,851,954","4,164,853","9,244,460","16,065,665","19,004,242",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN MIGUEL HIDALGO,0,0,0,0,0,0,0,0,0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN MILPA ALTA,0,0,0,0,0,"1,128,449","2,249,387","4,174,027",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN TLÁHUAC,0,"29,353","762,982","1,326,164","1,859,272","2,545,218","2,903,367","3,277,372",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN TLALPAN,"67,178","138,726","1,881,416","3,845,748","4,639,390","18,492,160","34,288,152","40,644,833",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN VENUSTIANO CARRANZA,"2,415,243","4,348,816","7,723,245","11,321,561","15,336,303","20,511,522","23,475,093","32,976,534",0,0,0,0
EDUCACIÓN,DELEGACIONES,DELEGACIÓN XOCHIMILCO,0,0,0,0,0,0,0,0,0,0,0,0
EDUCACIÓN,DEPENDENCIAS,SECRETARÍA DE CULTURA DEL DISTRITO FEDERAL,0,0,0,0,0,"834,528","894,528","921,528",0,0,0,0
EDUCACIÓN,DEPENDENCIAS,SECRETARÍA DE DESARROLLO SOCIAL DEL DISTRITO FEDERAL,0,0,0,0,0,0,"267,160,320","425,327,760",0,0,0,0
EDUCACIÓN,DEPENDENCIAS,SECRETARÍA DE EDUCACIÓN DEL DISTRITO FEDERAL,"9,083,921","35,993,093","69,433,843","89,711,031","181,001,952","222,019,463","270,807,592","362,134,225",0,0,0,0
EDUCACIÓN,DEPENDENCIAS,SECRETARÍA DE OBRAS Y SERVICIOS DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
EDUCACIÓN,ÓRGANOS DE GOBIERNO Y AUTÓNOMOS,UNIVERSIDAD AUTÓNOMA DE LA CIUDAD DE MÉXICO,"81,505,240","176,594,686","264,892,029","353,189,372","441,486,715","529,784,058","683,154,695","683,154,695",0,0,0,0
EDUCACIÓN,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),ESCUELA DE ADMINISTRACIÓN PÚBLICA DEL DISTRITO FEDERAL,"387,125","1,045,757","2,086,343","3,367,791","4,646,132","5,735,447","6,946,266","6,946,266",0,0,0,0
EDUCACIÓN,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),FIDEICOMISO EDUCACIÓN GARANTIZADA,"1,827,317","154,885,885","308,616,963","459,533,401","605,777,649","785,352,694","991,135,558","991,135,558",0,0,0,0
EDUCACIÓN,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO DE EDUCACIÓN MEDIA SUPERIOR DEL DISTRITO FEDERAL,"46,262,133","97,299,426","159,826,063","226,727,822","288,010,817","360,026,952","424,531,135","424,531,135",0,0,0,0
EDUCACIÓN,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),INSTITUTO LOCAL DE LA INFRAESTRUCTURA FÍSICA EDUCATIVA DEL DISTRITO FEDERAL,"396,063","1,037,532","1,895,842","2,870,394","3,753,749","4,673,095","5,418,880","5,418,880",0,0,0,0
EDUCACIÓN,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL DISTRITO FEDERAL,"4,348,592","33,524,577","85,291,949","97,979,542","136,589,696","191,517,830","215,553,776","215,553,776",0,0,0,0
JUSTICIA,DELEGACIONES,DELEGACIÓN AZCAPOTZALCO,0,0,0,0,0,0,0,0,0,0,0,0
JUSTICIA,DELEGACIONES,DELEGACIÓN BENITO JUÁREZ,0,"192,841","329,349","329,349","333,252","656,848","766,631","768,481",0,0,0,0
JUSTICIA,DELEGACIONES,DELEGACIÓN COYOACÁN,"2,004","4,087","6,165","8,253","10,370","12,207","14,201","16,439",0,0,0,0
JUSTICIA,DELEGACIONES,DELEGACIÓN CUAUHTÉMOC,0,0,0,0,0,0,0,0,0,0,0,0
JUSTICIA,DELEGACIONES,DELEGACIÓN GUSTAVO A. MADERO,0,0,0,"1,934,510","1,934,510","1,934,510","1,934,510","1,934,510",0,0,0,0
JUSTICIA,DELEGACIONES,DELEGACIÓN IZTAPALAPA,0,"40,000","40,000","1,087,313","1,219,353","2,142,137","2,197,654","2,303,994",0,0,0,0
JUSTICIA,DELEGACIONES,DELEGACIÓN LA MAGDALENA CONTRERAS,"1,029,856","1,816,734","3,260,167","4,197,093","5,601,449","6,624,493","7,908,665","8,630,625",0,0,0,0
JUSTICIA,DELEGACIONES,DELEGACIÓN MIGUEL HIDALGO,0,0,0,0,0,"300,000","300,000","300,000",0,0,0,0
JUSTICIA,DELEGACIONES,DELEGACIÓN TLÁHUAC,0,"25,000","200,928","213,428","389,355","401,855","558,284","583,119",0,0,0,0
JUSTICIA,DELEGACIONES,DELEGACIÓN TLALPAN,0,0,0,"20,472","25,590","30,708","35,826","40,944",0,0,0,0
JUSTICIA,DEPENDENCIAS,CONSEJERÍA JURÍDICA Y DE SERVICIOS LEGALES,0,0,0,0,0,0,0,0,0,0,0,0
JUSTICIA,DEPENDENCIAS,CONTRALORÍA GENERAL,"321,923","678,598","1,097,715","1,431,037","1,808,310","2,170,803","2,536,725","2,903,409",0,0,0,0
JUSTICIA,DEPENDENCIAS,JEFATURA DEL GOBIERNO DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
JUSTICIA,DEPENDENCIAS,OFICIALÍA MAYOR,0,0,0,0,0,0,0,0,0,0,0,0
JUSTICIA,DEPENDENCIAS,PROCURADURÍA GENERAL DE JUSTICIA DEL DISTRITO FEDERAL,"322,474,275","681,603,557","1,095,618,327","1,491,937,746","1,946,464,929","2,360,686,007","2,781,623,456","3,163,673,668",0,0,0,0
JUSTICIA,DEPENDENCIAS,"SECRETARÍA DE CIENCIA, TECNOLOGÍA E INNOVACIÓN DEL DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0
JUSTICIA,DEPENDENCIAS,SECRETARÍA DE CULTURA DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
JUSTICIA,DEPENDENCIAS,SECRETARÍA DE DESARROLLO ECONÓMICO DEL DISTRITO FEDERAL,"39,717","64,717","89,717","114,717","139,717","232,263","275,070","308,785",0,0,0,0
JUSTICIA,DEPENDENCIAS,SECRETARÍA DE DESARROLLO RURAL Y EQUIDAD PARA LAS COMUNIDADES DEL DISTRITO FEDERAL,0,"5,871,796","10,871,796","16,299,024","16,926,252","17,362,150","17,798,048","18,722,506",0,0,0,0
JUSTICIA,DEPENDENCIAS,SECRETARÍA DE DESARROLLO SOCIAL DEL DISTRITO FEDERAL,"9,328,076","9,692,877","9,941,751","10,886,982","24,984,825","25,488,024","28,961,390","29,101,858",0,0,0,0
JUSTICIA,DEPENDENCIAS,SECRETARÍA DE DESARROLLO URBANO Y VIVIENDA DEL DISTRITO FEDERAL,0,0,0,0,"4,557","6,431","10,607","10,607",0,0,0,0
JUSTICIA,DEPENDENCIAS,SECRETARÍA DE EDUCACIÓN DEL DISTRITO FEDERAL,"1,278,634","5,011,715","11,221,822","15,858,310","21,834,568","28,411,281","30,824,825","41,730,045",0,0,0,0
JUSTICIA,DEPENDENCIAS,SECRETARÍA DE FINANZAS DEL DISTRITO FEDERAL,"572,403","1,112,638","1,667,302","2,233,152","3,030,240","3,581,376","4,119,888","4,664,913",0,0,0,0
JUSTICIA,DEPENDENCIAS,SECRETARÍA DE GOBIERNO DEL DISTRITO FEDERAL,"155,888,730","333,035,050","562,743,003","747,925,359","1,025,725,461","1,298,633,728","1,576,429,173","1,809,377,855",0,0,0,0
JUSTICIA,DEPENDENCIAS,SECRETARÍA DE MEDIO AMBIENTE DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
JUSTICIA,DEPENDENCIAS,SECRETARÍA DE MOVILIDAD DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
